HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
-30.303,-58.1421,-50.8772,-6.3291,-93.1818,-76.25,17.9688,4.5161,2368.0,113.7931,-164.3402,-9166.6667,-5.6604,-52.9412,0.9804,11.7021,117.2414,-12.6168,27.2727,-23.8532,47.8261,8.9552,-89.2857,0.0,-47.3684,12.3894,-1.5873,28.7129,-14.4578,19.2308,-38.7097,-26.490099999999998,-88.5714,39.1304,-63.2997,-54.6667,-9.8039,-3.6364,-56.9444,-1016.6667,-14.6939,-26.3158,118.1818,-168.91610408163262,26.4368,-67.8571,7.1429,-11.4504,-52.7132,179.3103,2016-03-31 00:00:00
33.5052,-30.7692,9.2308,12.3077,-93.1818,-60.8108,17.9688,-10.4294,1478.5714,-7.4074,192.8571,-473.3333,-1.9231,-27.2727,-11.5702,3.3981,154.2857,-8.365,23.494,3.4483,-13.5,2.7027,-51.6667,-13.7255,-47.3684,4.3796,-6.7797,-4.1958,91.8919,13.5135,-12.9353,-17.2185,-23.0769,-100.0,-63.2997,-21.0526,37.7049,-3.6364,70.3704,-160.7143,-27.0195,-38.2022,838.7097,34.1497612244898,58.3333,-67.8571,7.1429,-15.2174,8.3333,23.7179,2016-06-30 00:00:00
-19.1489,-3.5898,-2.5974,-14.3939,-93.1818,-23.1884,7.7465,28.9256,1478.5714,-56.3636,192.8571,3.4483,-1.8868,-8.3333,40.7895,5.2632,108.1395,-20.0,9.2199,5.8824,-9.2486,21.6216,452.9412,47.1264,-83.3333,2.8571,8.0,4.0,18.6441,-28.2051,-56.7347,-8.0882,-23.0769,57.3108,-37.6147,14.473700000000001,27.8912,50.2619,70.3704,50.7463,-1.6447,78.8462,18.6441,52.07548367346939,18.9655,90.9091,7.1429,-9.9338,-9.3333,140.0,2016-09-30 00:00:00
-144.5313,-34.4761,46.5116,1.0101,490.9091,-35.2941,53.4563,18.9655,33.3333,-56.3636,0.0,98.9899,-4.902,-40.0,-36.9099,13.8863,-68.0178,145.0704,41.0256,11.3098,6.0241,32.7586,-17.3626,77.4648,81.4815,2.8571,-40.0,18.1818,13.3333,723.4375,-15.8621,10.6796,10.8696,71.4286,-37.6147,41.3126,62.632,-47.1154,-82.4255,87.5264,3.2609,142.1053,-13.6364,42.1424693877551,8.7719,95.1456,97.8947,6.6018,24.5902,166.6667,2016-12-31 00:00:00
37.7907,-34.4761,114.2857,-1.3514,490.9091,463.1579,4.6358,0.6173,-91.8963,-35.4839,0.0,98.9899,5.0,162.5,18.4466,5.2381,41.2698,26.2032,28.5714,22.8916,11.7647,13.6986,433.3333,11.538499999999999,-50.0,4.7244,-9.6774,14.6154,-16.9014,16.129,-71.9298,22.5225,450.0,71.4286,-37.6147,238.2353,61.5942,-45.283,-51.6129,87.5264,-11.0048,104.7619,0.0,57.06424081632652,2.7273,95.1456,97.8947,13.7931,17.2414,-35.8025,2017-03-31 00:00:00
-13.1783,300.0,35.2113,-4.7945,490.9091,-65.5172,-4.4586,-2.7397,-77.8281,2.0,98.7805,-223.2558,6.8627,-81.25,14.0187,24.4131,-8.9888,4.9793,3.4146,8.8889,16.185,15.7895,110.3448,15.9091,96.7949,11.1888,14.5455,25.5474,-39.4366,22.619,18.8571,1.6,-62.5,71.4286,-37.6147,91.6667,17.8571,39.6278,-32.6087,-338.3562,-4.9618,-7.2727,-52.921,15.3213387755102,10.526299999999999,95.1456,97.8947,23.9316,26.1538,-4.6632,2017-06-30 00:00:00
-80.3571,130.0994,35.2113,23.0088,-35.7143,62.2642,5.2288,-10.2564,100.0,66.6667,81.6092,-223.2558,-20.1923,-22.7273,-18.6916,8.6364,-95.5307,58.1395,3.4146,-5.5556,42.6752,4.4444,19.1489,6.25,200.0,0.6944,-9.2593,12.8205,-25.7143,73.2143,104.717,13.6,-62.5,63.9614,51.4706,48.2759,-19.6809,21.227899999999998,-32.6087,15.1515,-2.0067,-78.4946,2.1429,11.947073469387751,-1.4493,95.1456,-50.0,10.2941,29.4118,-9.5238,2017-09-30 00:00:00
45.2396,-24.2248,50.7937,23.0088,-1.5385,786.3636,24.6637,-10.2564,100.0,66.6667,39.2857,-223.2558,20.6186,300.0,36.7347,-54.2781,-95.5307,58.1395,3.4146,87.8707,288.6364,41.5584,19.1489,54.7619,-986.6667,0.6944,689.7436,872.7273,-83.8235,-50.6641,-54.0984,13.6,-62.5,63.9614,646.1101,-29.2349,119.0838,56.0027,11.1852,15.1515,-2.0067,-78.4946,153.9474,78.5730469387755,120.9677,95.1456,-50.0,565.2421,173.6842,12.5,2017-12-31 00:00:00
64.486,146.1538,80.0,11.6438,-1.5385,-42.9907,-82.9114,0.0,44.0,10.0,-32.6531,59.5745,-7.619,66.6667,9.8361,-54.2986,-56.1798,-16.5254,-11.1111,-13.7255,6.8421,33.7349,168.75,-1.1494,90.0,16.5414,33.9286,30.2013,10.1695,38.8889,456.25,23.5294,4.5455,63.9614,34.2657,40.8696,-9.8655,184.4828,100.0,1325.0,-2.1505,37.2093,8.3333,70.28552653061222,9.7345,513.3333,-60.0,28.0303,33.8235,51.9231,2018-03-31 00:00:00
67.1233,44.4444,45.8333,-10.0719,209.0909,460.0,-13.3333,3.5211,30.6122,-47.0588,-65.6442,59.5745,-10.0917,1300.0,22.9508,18.4906,3.7037,31.6206,-1.8868,-26.699,20.398,18.1818,11.4754,19.6078,90.0,7.5472,28.5714,46.5116,72.093,-3.8834999999999997,13.9423,27.5591,173.3333,66.6667,132.4675,65.2174,30.303,13.0869,16.129,98.4375,5.6225000000000005,-17.647100000000002,33.5766,68.23374693877551,15.873,66.6667,60.0,36.5517,41.4634,31.5217,2018-06-30 00:00:00
91.0891,44.4444,45.8333,-15.1079,209.0909,-11.6279,-19.2547,5.0,121.7391,-37.5,-63.2911,357.1429,37.3494,100.0,34.4828,10.4603,2112.5,57.7206,-1.8868,11.0294,30.8036,13.8298,40.1786,11.0294,17.9487,20.0,32.6531,44.3182,21.1538,6.1856,36.4055,22.5352,-3.125,66.6667,106.7961,46.5116,21.8543,-2.468,-20.8333,98.4375,0.6826,-15.0,49.6503,100.29573265306121,8.8235,876.0,225.0,44.0,31.8182,-6.5789,2018-09-30 00:00:00
99.4166,44.4444,-7.3684,-15.1079,209.0909,-91.7949,-32.3864,5.0,121.7391,-37.5,-70.5128,22.7273,4.2735,100.0,-23.8806,163.6364,2112.5,57.7206,-1.8868,-38.0,-92.6901,-22.9358,40.1786,-29.7436,17.9487,-58.730199999999996,-78.5714,-81.3803,418.1818,-74.2308,162.5,22.5352,-3.125,-87.5,19.3939,193.8462,-34.1848,86.9016,0.0,98.4375,0.6826,-15.0,-48.1865,300.0,-52.5547,43.0769,225.0,-77.0721,-39.9038,-11.1111,2018-12-31 00:00:00
99.4166,-34.375,-12.963,-40.4908,16.545835416666666,52.459,388.8889,-13.4969,-5.5556,-34.0909,16.545835416666666,114.6667,24.7423,100.0,14.9254,52.4752,92.3077,114.2132,-77.0833,40.9091,-26.1084,-15.3153,47.6744,19.7674,-21.0526,-17.4194,-25.3333,30.4124,0.0,-40.0,-47.191,11.9048,65.2174,-75.0,-27.0833,32.0988,9.4527,-12.1212,-20.0,98.4375,-1.6484,-38.9831,59.6154,-64.7059,7.2581,-8.6957,-11.1111,14.7929,-9.8901,-17.7215,2019-03-31 00:00:00
95.8333,-34.375,-2.8571,-3.2,3.6392958333333336,-10.7143,8.461500000000001,43.5374,4.6875,-85.1852,3.6392958333333336,0.0,33.6735,-59.5238,22.0,-37.8981,0.0,28.8288,-19.2308,55.9129,-22.7273,-2.8846,-57.3529,4.918,16.129,14.0351,-37.037,7.9365,-17.5676,8.0808,2.1097,19.7531,39.0244,10.0,27.3743,2.6316,-23.2558,37.037,-44.4444,60.0,7.2243,-19.0476,4.3716,60.0,2.7397,-23.6364,62.5,12.6263,-22.4138,6.6116,2019-06-30 00:00:00
-288.8889,-34.375,10.757255555555558,-2.5423999999999998,10.757255555555558,3.9474,50.0,-54.4218,4.6875,-56.0,10.757255555555558,72.5,-18.4211,-61.7647,17.9487,4.1667,-8.4746,-6.993,10.757255555555558,20.5298,-33.4471,0.0,-78.9809,6.6225000000000005,16.129,16.6667,-23.0769,-1.5748,4.7619,8.0808,-15.5405,20.1149,74.1935,10.757255555555558,-35.2113,4.7619,-5.4348,22.4592,-26.3158,-91.4894,-35.9322,758.8235,-15.8879,266.6667,0.0,-23.6364,38.4615,2.7778,0.8621,-12.6761,2019-09-30 00:00:00
