HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date1,Date2
2.628897,-6.455876,8.871644,-2.241548,-0.7835334,1.783723,-3.561725,-3.243186,2.352668,-9.660421,-2.953297,3.134939,4.77929,-1.032379,5.048311,6.504986,2.211074,-1.357919,5.260824,3.679525,11.0219,-2.445152,2.274886,2.637234,-0.1420051,5.861558,-0.817817,5.119379,4.77896,-1.530612,0.3665881,6.318681,2.017315,5.226452,0.4724634,0.3509134,-3.137886,-3.03246,4.39114,-4.3222,8.057512,-2.98455,-1.029447,0.8392206,10.72348,3.678104,-0.9755902,11.24342,2013-11-30 00:00:00,2013-12-31 00:00:00
-9.048193,-6.209292,-5.451744,0.8141428,-5.521472,5.878057,4.700364,-3.406485,-1.797268,-2.25183,-8.067941,-0.1321586,-5.353183,-10.4789,-8.59893,-9.924097,-9.980003,2.332995,-3.395291,-8.096487,13.85415,-3.577251,-2.818777,-9.373811,-3.960068,-0.2585371,1.595214,-8.257359,11.59293,-8.962157,-3.818893,-11.36951,-10.63165,-3.660076,2.756439,2.231822,5.873418,-8.486272,-5.805832,8.120216,-4.561688,2.767015,3.217223,-7.917981,4.977962,3.714286,-6.886561,-2.439631,2013-12-31 00:00:00,2014-01-31 00:00:00
6.014041,7.685185,1.861704,8.202584,9.404388,5.985332,0.896041,4.876599,1.756955,2.874331,3.478194,3.076432,-0.5103945,11.2636,5.790717,15.42882,12.29642,1.472826,12.14725,0.1251564,3.137511,7.171275,6.670409,1.271343,-4.171669,-0.1502509,5.626431,2.952868,7.82426,2.530044,8.510638,8.163265,4.236725,5.196507,5.189094,6.938163,6.456241,10.56273,5.375316,2.848324,3.997278,11.72316,3.960213,10.2204,2.000494,4.055486,-0.6701771,1.845019,2014-01-31 00:00:00,2014-02-28 00:00:00
3.880561,1.394644,4.256866,2.430589,2.855625,10.35843,0.6818745,6.632653,6.634068,1.364522,5.789474,7.15209,-0.5421891,-3.245923,0.6902694,2.103893,0.8339376,0.479684,-0.9913322,10.28125,1.833031,0.4736596,4.83871,1.681111,9.834012,5.72299,3.851092,4.59772,-3.814935,-2.118034,-3.192559,8.086253,3.104136,7.92818,4.475484,-1.341901,-1.707098,3.315881,3.953124,1.464079,-5.981766,2.749684,5.89172,-0.5359815,-0.7829649,4.035924,2.29619,-4.538578,2014-02-28 00:00:00,2014-03-31 00:00:00
7.57722,5.930034,3.393507,2.97899,0.08,4.380215,1.814059,3.115138,-1.073661,4.326923,5.628998,-0.2010454,1.703578,2.049248,2.52838,1.248406,0.1269749,4.591407,1.11356,-3.546868,-16.80627,-3.102139,4.153846,1.150133,3.124061,-2.161161,0.6035003,7.160032,-2.202532,0.6512605,1.19507,1.995013,5.558826,-6.872587,5.182394,-7.816092,5.835361,1.041667,2.06764,5.855705,4.472397,7.505383,4.14608,0.4827369,3.918186,1.476074,5.657238,3.8299,2014-03-31 00:00:00,2014-04-30 00:00:00
2.400179,-7.813129,3.240492,0.7511165,-0.09992006,6.075031,0.08908686,0.8623425,2.22558,1.795666,8.521584,3.021455,6.020878,-7.402894,3.110568,1.804129,-2.823019,-3.533467,1.25043,2.037201,-2.656384,4.348242,2.451994,6.165288,-0.6442577,6.579922,5.24895,3.615059,4.866304,-0.6888745,3.278265,-2.200489,-1.329521,-0.5597015,-2.585104,1.648326,0,0.6577357,-5.61852,1.460848,0.03344481,1.105857,-5.29814,4.114882,11.35879,4.642126,0.5174353,2.474634,2014-04-30 00:00:00,2014-05-31 00:00:00
8.596855,11.26221,13.10395,5.454637,-0.5750077,-0.9503123,-0.2590619,3.114528,-2.143511,4.86618,7.242932,3.505317,5.315086,2.096547,0.4840407,0.8892958,-1.210428,4.375352,-0.6419283,8.449074,-4.87456,2.228328,13.80627,-1.174432,-0.3101212,2.263027,2.342121,2.087763,4.204798,-0.9880177,2.224444,4.75,6.319733,4.981368,3.202289,0.03081981,0.2617801,7.47884,-1.676069,-0.8856555,4.916827,5.572887,3.075571,3.68757,25.08271,0.5679147,0.9612726,-5.945541,2014-05-31 00:00:00,2014-06-30 00:00:00
0.09101021,-2.083333,9.676375,-3.154967,-6.754297,-14.80263,-6.608524,-4.329956,3.305671,-0.5693159,-2.938053,-3.158295,-5.349048,2.830026,-1.640603,-9.657139,-5.044821,-2.776654,-9.811105,4.611309,-16.1727,-2.523801,-8.105129,-5.425677,1.952455,-0.7870946,-7.148888,-3.19504,-2.128333,3.864119,3.531462,-6.682578,-1.003447,0.199362,-5.200976,-9.469036,-1.656587,-13.92977,5.737298,1.531833,-5.951048,-7.40094,-7.1185,-4.79392,-2.71431,-1.443609,0.3577018,-3.798141,2014-06-30 00:00:00,2014-07-31 00:00:00
2.141847,8.751506,3.745638,0.5941182,3.578399,8.588861,3.976124,4.340371,0.3882715,2.291422,-1.551515,1.767482,9.317964,1.700788,2.811734,4.654931,5.415415,3.728403,4.68393,0.3586065,3.814031,5.795632,1.522281,0.9463254,-1.77016,5.252803,4.971203,6.108375,8.011317,5.602126,0.2849003,6.649616,1.0124,0.1591723,6.001084,4.313336,4.959785,8.497519,0.9221274,7.546093,2.398367,0.5380253,4.962082,6.161089,4.962034,7.588096,4.633549,5.27589,2014-07-31 00:00:00,2014-08-31 00:00:00
-6.465709,-14.82996,-0.2863688,-5.165675,-6.523807,2.004787,0.3797743,2.757158,-3.60825,-15.04882,-5.786752,0.8359253,-6.156112,4.344931,-1.611111,-9.048308,4.444022,1.054196,-1.498925,-1.148545,-4.786806,0.2468871,-7.251003,0.9863352,0.8009154,4.299066,-4.120722,7.922724,-5.441209,0.3291384,-1.538826,-18.22542,-7.825415,-0.5604745,-1.904617,4.386349,-6.726266,-5.239811,-1.284451,-7.709382,-5.987933,-5.90107,-5.140084,-6.630227,-5.963136,2.992306,2.001012,6.045406,2014-08-31 00:00:00,2014-09-30 00:00:00
-10.0827,-18.61171,-2.326249,3.410513,-0.2251745,7.333529,6.228502,1.116427,-2.271144,-3.876825,-4.747445,2.352034,7.209159,-1.372048,8.533315,10.75921,5.396185,9.870269,-0.1359871,0.4320361,16.90862,-3.135069,-2.979644,6.735171,0.1587489,-0.8602151,6.546894,5.224205,7.020738,3.31932,5.363926,-17.88856,0.527992,-4.251905,7.991588,0.5029865,15.05404,-15.433,-13.3962,14.01315,11.10717,-18.3324,15.48837,-7.5091,0.2890696,7.406383,2.861351,-0.0497884,2014-09-30 00:00:00,2014-10-31 00:00:00
-14.00778,-1.918977,10.25657,2.037317,3.294967,-0.2949694,6.45544,1.087893,4.077559,11.63946,-8.426888,3.289153,4.282339,20.6296,4.670471,0.1533729,2.902833,-0.5411394,2.649171,3.383265,-0.9009009,-2.049807,-12.88263,5.426785,1.549943,1.427698,1.543298,3.971866,7.919402,0.821969,2.110576,-0.3571429,-8.402277,-2.366988,-0.8519961,5.137284,2.004008,-14.6625,-0.6844056,4.759752,0.7026509,7.628399,0.2803315,-10.30024,-6.773554,0.7041649,-0.3272653,10.64869,2014-10-31 00:00:00,2014-11-30 00:00:00
1.606981,2.848208,-2.577181,0.6430257,0.2937717,2.515897,-0.174842,-3.399538,1.105338,-1.462174,4.525503,0.6240822,1.642594,2.581081,2.642264,-0.9957423,-7.111486,3.263288,-8.030882,1.348988,-0.2710832,-3.756712,-0.1597587,1.137191,-5.059356,-1.818345,3.33307,-0.9543046,2.931484,0.2594034,1.14581,-4.301075,3.040323,0.9314318,6.911808,3.639809,-0.2937993,-3.558357,-1.066782,2.728754,0.92676,-1.631579,6.761134,6.299901,-12.0528,2.021067,6.11836,2.649457,2014-11-30 00:00:00,2014-12-31 00:00:00
-8.574912,33.06878,-8.955635,4.686267,6.659365,-2.804746,-6.560499,-4.236397,-4.066039,-4.112301,-8.803939,-5.29004,-0.1114517,-3.029904,-1.229309,-3.266977,0.6546645,4.309313,-6.551542,-10.84545,-4.773745,-0.717566,-3.535886,-11.09112,-0.6059611,-6.970167,-2.284613,7.773493,-1.900887,-13.21408,-0.04263218,-3.745318,-8.602246,-11.40051,3.809193,-1.65496,9.984089,0.6535948,-4.444029,8.299194,4.748383,3.424291,5.745165,-0.75673,-2.403204,-1.611685,0.2143414,-3.022281,2014-12-31 00:00:00,2015-01-31 00:00:00
11.24611,4.691849,1.354419,14.90906,9.385911,-5.030734,1.574657,3.081395,-1.649836,11.0809,4.635646,6.224222,-1.251294,5.08742,4.560066,2.558365,13.46504,-8.982158,5.035971,8.722222,18.01567,11.34239,2.74345,3.662703,4.981774,7.644983,-3.943662,6.007533,9.634212,11.65069,5.831099,21.01167,5.051844,10.31325,-8.509927,2.048668,-4.954792,-0.7010416,6.370516,-4.901153,1.189759,7.794447,-7.842688,-2.65,11.81031,3.063131,5.930391,0.6384982,2015-01-31 00:00:00,2015-02-28 00:00:00
-9.273318,-17.45184,-5.954887,-3.328726,-13.10763,-0.9139151,-1.532219,-1.863233,-0.179111,-1.22399,-4.509202,-0.7118087,-5.582455,6.820252,-2.193893,-2.524081,1.484394,-2.253342,-6.456759,2.810424,3.141593,-0.7191379,-0.8555133,-4.708542,-5.52662,-5.71638,-0.1318678,-10.2503,5.674418,-1.716902,-2.195482,-13.82637,-1.593551,-0.9877491,-0.7683753,-2.765465,2.16895,3.535888,-0.8892182,0.3242122,1.768471,1.988161,-2.903099,-5.363436,4.454656,-9.936804,0.2442964,8.751989,2015-02-28 00:00:00,2015-03-31 00:00:00
13.30485,22.0175,4.09338,-2.25724,-4.472427,1.219875,2.408739,-1.39165,0.350365,-1.189962,9.090909,1.286765,-4.94721,-3.94785,-5.189451,-0.2740912,12.66851,1.028914,10.04909,5.641153,-6.490696,-2.098269,13.38686,3.703322,7.622194,-2.011271,1.099228,0.05997601,-2.546948,3.493789,0.7110568,-15.67164,5.791579,5.052072,-1.31367,-8.908929,-9.425486,3.721881,6.722742,-6.902792,-3.290247,7.67537,-0.7676768,9.726027,1.186005,-1.920414,-8.66679,-8.089465,2015-03-31 00:00:00,2015-04-30 00:00:00
-12.19766,2.831257,6.646336,3.738562,4.204545,0.3731117,-0.7566779,1.686798,-2.348242,-3.987342,-5.186095,2.254267,3.332275,1.28932,2.364055,-1.41599,1.892923,-1.32941,0.7215954,2.40907,0,2.384354,-4.058768,-0.5874013,-0.2886836,-8.237776,1.998237,2.297702,4.48925,1.520484,4.696251,0.8849558,-6.338754,3.24826,-0.5023233,1.597231,-0.5809129,-13.36008,-0.200279,-1.328412,4.465371,-5.842828,-0.8323238,-2.384519,-0.1758156,-4.498884,0.2422774,5.921627,2015-04-30 00:00:00,2015-05-31 00:00:00
-0.5818751,-14.15593,-11.73825,-7.807476,2.80174,-7.123855,-1.861456,-2.676253,4.984237,-1.054713,-3.564698,0.5003574,-2.374652,2.912254,-3.004777,-3.216525,3.687786,-6.747656,7.124785,-3.205719,-3.285516,-1.093272,-4.521979,-2.32816,2.83729,-5.043478,-7.371441,-3.444843,-1.287306,2.14497,0.9876543,5.263158,-6.339806,5.266545,-4.924357,-4.339867,-5.926544,-2.512563,-4.120247,-6.589809,-1.566471,-4.028738,-6.427801,0.4287557,13.70156,-5.490041,-5.916758,6.604792,2015-05-31 00:00:00,2015-06-30 00:00:00
-11.76734,-26.49829,-4.816702,5.76448,-8.345784,2.1324,8.49297,2.821671,5.501456,-0.2248337,-16.90387,2.898293,-2.571429,0.2695087,-1.918341,-1.26534,5.886899,5.097706,-4.179907,3.80736,-1.78744,2.423278,-3.909966,5.623775,-0.8746495,-3.468407,7.940278,11.18381,4.116959,5.918978,3.778896,-19.58333,-8.282368,-7.579891,7.797428,4.570528,10.78485,-17.04447,-0.4119021,5.698614,-8.929101,-5.753647,8.96153,-9.73383,-8.555497,2.327776,10.31284,7.896335,2015-06-30 00:00:00,2015-07-31 00:00:00
0.7456363,-0.5824112,-0.6037313,-5.225366,-4.913833,-3.235594,-7.341045,-5.480891,-4.066866,-6.473365,-2.363925,-7.245724,-8.960573,-4.384856,-5.419063,-5.287217,-5.270511,-3.41656,-7.57653,-8.29493,-1.106739,-5.759434,-5.976817,-3.917579,-4.43293,-6.952882,-2.577806,-1.471129,-16.38396,-8.518645,-10.65299,-6.217617,-7.288424,-7.23171,-2.982849,-3.000323,-6.717928,-5.166052,-7.945001,-7.570153,-9.95114,-3.404987,-2.309098,4.002849,-8.155488,-11.58258,-2.092705,-7.088778,2015-07-31 00:00:00,2015-08-31 00:00:00
-15.40923,-5.710766,5.606167,-5.237567,-23.27164,-3.446034,3.215705,-0.6703554,-14.30167,-2.162942,-2.42116,-3.712732,-1.020209,1.222494,-0.2603067,-10.81725,-3.284623,1.452546,-10.17253,-1.633166,-10.09699,0.8330492,-10.85692,1.065028,-1.86747,-1.938134,7.471855,2.621213,-3.425808,-7.23635,-11.19452,-4.972376,-2.60526,-6.124419,3.921006,2.636282,5.986985,-9.667764,-1.97444,6.898185,-7.684306,-7.071429,9.590766,-8.418232,-22.44867,3.114066,0.2698308,0.9547024,2015-08-31 00:00:00,2015-09-30 00:00:00
12.28526,21.09521,12.3424,12.39589,8.614594,-5.993266,9.785399,8.227102,13.8204,10.23137,12.72896,5.433301,8.414518,-1.881515,10.89088,-4.669368,7.131351,-0.6533222,11.51112,6.81174,15.35664,9.688297,13.32463,4.387476,4.314102,4.751309,4.591061,11.15809,15.95604,7.275838,12.04067,23.25581,15.21298,5.596107,1.517979,-3.47192,10.65225,19.36314,-3.373112,-4.208506,16.72247,1.229823,-1.263884,12.6833,7.028494,1.063228,7.930134,8.812878,2015-09-30 00:00:00,2015-10-31 00:00:00
4.96353,-5.395683,3.409206,3.403412,-6.362829,-1.129744,-0.4677972,0.9412304,0.6953731,-3.241053,1.31209,2.472428,9.682919,-5.336264,0.2479008,-2.072239,-4.86789,-4.029976,0.6650963,5.258103,-0.3637245,-0.9887827,-0.6525077,0.7017251,0.4774694,19.65265,-1.046512,-4.746155,-0.1759028,1.730299,0.2678571,11.32076,1.659858,6.797235,-1.348204,-2.021093,-2.540157,2.315848,0.4647357,-1.272794,-0.9956126,2.638572,-3.461612,1.40864,-7.302231,-5.433038,0.01860119,-6.006968,2015-10-31 00:00:00,2015-11-30 00:00:00
