HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date,Metric
1.6639,0.2556,3.1707,1.7768000000000002,4.2017,3.4983,2.6768,2.6381,1.1499,4.7733,1.4563,2.2936,3.2115,4.1653,3.4374000000000002,2.5354,5.371,3.4685,2.4289,3.8466,2.7099,1.7503,4.7415,1.1804000000000001,2.5291,2.8964,4.4434000000000005,2.7721999999999998,4.0265,3.2773,0.6362,0.4718,2.6456,,4.0828,2.1396,3.1073,2.0548,3.2505,1.1151,3.6896,4.5161999999999995,2.0101,1.5068000000000001,3.0322,3.9704,11.8354,2.5215,2.4747,3.1673999999999998,2016-06-30 00:00:00,EQY_DVD_YLD_IND
1.865,0.2545,2.755,1.7906,4.4971,3.8209999999999997,2.9173999999999998,2.7089,1.0924,4.971,0.75,2.3004,3.4327,3.8823,3.4945,2.5194,4.7844,3.1994,2.5715,4.2729,2.7187,1.9057,4.4708,1.1502,2.5432,2.8529999999999998,4.7279,2.4314999999999998,4.3969,3.8589,0.5449,1.3551,2.4592,,4.1586,1.9442,3.2881,2.5858,3.5233,1.1192,3.5253,4.6008,1.884,1.3473,3.3066,4.169,2.6033,2.2557,2.5721,2.8677,2016-09-30 00:00:00,EQY_DVD_YLD_IND
1.6054,0.587,2.8674,2.1726,3.7504,3.5841,3.2247,2.7775,1.1728,4.9464,0.5432,1.9944,2.7580999999999998,4.121,3.3227,2.4864,4.3628,2.9999000000000002,2.6224,4.4061,2.7124,1.6040999999999999,4.2531,1.2626,2.3824,2.7216,4.6085,2.1838,4.464,3.6084,0.6532,1.0769,2.7597,,3.6703,1.3508,3.3499,2.39,4.2925,1.051,3.3737,5.1397,2.1322,1.0466,3.376,4.2679,2.569,2.3341,2.3128,2.6892,2016-12-31 00:00:00,EQY_DVD_YLD_IND
2.0743,0.6068,3.0219,1.9316,3.7697000000000003,3.6409000000000002,2.9477,2.5692,1.0027,5.1546,0.3117,2.1255,2.7309,3.6492,4.3486,2.4565,4.2986,2.7116,2.2841,4.1702,2.5248,1.6091,4.5455,1.1808,2.5608,3.0941,4.7172,2.1792,4.2257,3.4164,0.5922,1.0699,2.3868,,4.0235,1.3415,3.2318,2.2627,4.8891,1.1648,3.2157999999999998,4.9139,1.9675,1.1367,3.4306,4.798,4.0554,2.2847,2.3313,2.3765,2017-03-31 00:00:00,EQY_DVD_YLD_IND
2.2795,0.6175,3.2306,1.8963,2.6281,3.6318,3.0052,2.5399000000000003,1.0572,5.3619,0.3165,2.4112999999999998,2.7432,3.7015000000000002,4.7428,2.2576,4.3516,2.5274,2.0447,4.0914,2.4289,1.4896,4.3207,1.1149,3.0377,3.0021,5.1948,2.0049,4.0869,3.2765,0.56,0.9569,2.1806,,4.1407,1.42,3.1194,2.3023,5.8856,1.4134,3.9004,4.6493,1.7507000000000001,1.2475,3.3887,5.0777,3.963,2.222,2.3177,2.4401,2017-06-30 00:00:00,EQY_DVD_YLD_IND
2.1327,0.7998,2.8624,1.9313,2.7791,3.4776,3.2971,2.5844,1.0199,5.0125,0.2371,2.1179,2.8286,3.6438,4.2027,2.2392,3.7641999999999998,2.5709999999999997,2.3344,4.2421,2.2544,1.8106,3.8258,1.1508,2.867,2.7645999999999997,5.0038,1.8451,4.1634,4.1627,0.5668,1.7597,1.9865,,3.6766,1.5735999999999999,3.0738,2.4036,5.5243,1.4104,4.1356,4.9516,2.0186,1.8569,3.3132,4.7968,3.9987,2.0867,2.172,2.4779,2017-09-30 00:00:00,EQY_DVD_YLD_IND
2.1066,0.7996,2.3614,1.8085,0.3897,3.324,3.2156000000000002,2.4048,0.9901,4.8038,1.3584,1.9311,2.5713,3.6302,3.8007999999999997,1.9969000000000001,3.7082,2.4457,2.5084999999999997,4.2326,2.418,1.7824,3.3522,1.2222,2.9678,2.7864,5.144,1.6839,5.105,3.697,0.4969,1.7202,1.9625,,3.4508,1.3822999999999999,3.2249,2.3117,6.1708,1.3727,3.9108,5.4571,2.0182,2.2756,3.3268,4.1814,3.9356999999999998,1.9836,1.9699,2.7121,2017-12-31 00:00:00,EQY_DVD_YLD_IND
1.9755,1.4333,2.3041,2.0159,0.4119,3.5376,3.6321,2.6219,0.984,5.4152000000000005,1.396,1.9228,2.9765,3.6571,3.5719,2.4781,4.1827,2.6652,2.9893,4.5953,2.1216,1.863,4.0903,1.1965,3.0874,3.4779,5.6101,2.1211,5.7971,4.4929,0.4237,1.8963,1.8692,,3.9284,1.2509000000000001,3.3811999999999998,2.6516,7.7778,1.3201,3.9106,6.3935,2.105,2.5927,3.5247,4.7414,5.4706,2.1721,2.2111,2.7447,2018-03-31 00:00:00,EQY_DVD_YLD_IND
1.495,1.4849999999999999,2.414,2.2265,0.3565,3.2394,3.7972,2.9669,1.0293,5.4201,1.5329000000000002,1.6375,2.8139,3.5107,3.3631,2.7654,3.8579,3.2481,2.7298999999999998,4.5018,2.2409,1.7801,3.6447000000000003,1.1687,2.9837,3.4265,6.2286,1.9089,5.7443,4.9304,0.494,1.9127,1.8364,,3.5435,1.4958,3.4063,2.8197,6.5921,1.2472,4.4953,5.5511,2.3626,2.1798,3.4184,3.6807,5.0166,2.061,2.2867,3.4898,2018-06-30 00:00:00,EQY_DVD_YLD_IND
1.397,1.8542999999999998,2.5375,2.0989,0.3079,3.1608,3.5199,2.6055,0.9859,6.4865,2.5355,1.4729,3.2725,4.2144,2.9022,2.5817,4.5144,3.1218,2.3973,4.6363,2.3402,2.1965,3.3353,1.0461,3.283,3.1178,5.9559,1.7729,5.6049,5.3059,0.5682,2.5091,1.5267,,3.6637,2.6608,3.2347,2.8314,6.6906,1.4107,4.1532,5.4104,2.0723,2.1283,3.3104,3.797,5.0018,1.9651999999999998,2.0584,3.1363,2018-09-30 00:00:00,EQY_DVD_YLD_IND
2.4691,1.6162,2.557,2.1747,0.3423,3.0599,3.5106,2.7896,1.1547,7.8431,3.5436,1.9567,3.7326,6.2214,3.8735,2.855,4.5441,3.4122,3.1015,4.299,3.3921,2.3794,4.953,1.2487,5.5432,3.7321999999999997,7.1479,2.1399,5.7889,6.479,0.6477,3.4575,1.7697,,4.118,3.4939999999999998,3.427,2.6945,7.6451,2.3454,5.5248,5.0137,2.3238,3.3487999999999998,3.4074999999999998,5.0831,6.1678,2.315,2.0901,4.0568,2018-12-31 00:00:00,EQY_DVD_YLD_IND
1.6602999999999999,1.5655999999999999,2.3464,2.2673,0.3662,2.8925,3.3253,2.5753,0.9347,6.8337,2.6911,1.8279999999999998,3.7252,5.1632,3.1896,2.7721999999999998,4.097,2.8885,3.1992,4.1222,3.2683,2.2209,3.5045,1.0423,4.5903,3.4365,6.5051,1.8407,5.1985,5.572,0.5318,2.893,1.6012,,3.8643,3.6552,3.0303,2.515,6.0541,1.7792,4.4507,4.4845,1.9639,2.5974,2.9843,4.713,5.2925,2.1053,1.9729,3.9432,2019-03-31 00:00:00,EQY_DVD_YLD_IND
1.5731000000000002,1.4557,2.6321,2.0125,0.799,3.0246,3.0912,2.7283,1.0745,5.8651,4.1667,2,3.8039,5.1632,3.0481,3.3229,3.945,2.6614,2.5738,4.2044,3.1864,2.5368,4.0871,0.9319,5.0327,3.7184,6.0877,1.7258,5.3209,6.7582,0.6113,2.5703,1.522,,3.8251,3.6894,2.9558999999999997,2.1547,6.0606,2.1429,4.6991,4.2684,1.6736,2.9233000000000002,2.8308,6.2053,5.4208,2.0815,1.7769,4.2965,2019-06-30 00:00:00,EQY_DVD_YLD_IND
1.6534,1.4768,2.4452,2.4452,0.9756,3.0014,2.9004,2.9371,1.0061,6.5502,6.6934000000000005,2.1411,4.0444,4.9097,2.4694,3.5036,4.0555,3.2237,2.2917,3.9433,3.3590999999999998,2.7428,5.0824,0.9291,5.8530999999999995,3.2048,5.3911,2.0928,5.2398,8.2152,0.6184,2.9531,1.5298,,4.0135,4.0612,2.843,1.995,5.364,2.1371,4.4561,3.8388999999999998,1.7206000000000001,3.1034,2.4816,7.1059,6.3175,2.3954,1.7826,4.5756,2019-09-30 00:00:00,EQY_DVD_YLD_IND
