HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
0.9829,3.6963,0.5492,1.3824,1.7370999999999999,3.1756,2.0562,0.7548,3.5674,15.367,1.4534,,2.9680999999999997,1.9098000000000002,0.7973,0.5979,2.2128,4.8354,4.683,,1.8182,2.3163,1.1219,1.5642,2.0732,1.983,4.8837,1.877,0.7485,18.0731,1.8881000000000001,46.0833,0.7617,,3.2393,1.3657,7.8778,2.4785,1.4798,6.2721,2.432,,3.4088,1.1111,7.8623,1.0709,2.6273999999999997,2.5351,2014-12-31 00:00:00
1.2199,3.0782,0.5713,1.3783,1.9007,2.7720000000000002,2.2765,0.7763,5.2603,14.5435,1.8423,,3.1609,1.8708,0.7712,0.5928,2.1464,4.9405,4.7775,,1.8523,2.516,1.1418,1.8485,2.4916,1.9942,5.4483,1.7468,1.3184,16.9837,2.0396,46.0833,1.0664,,3.4353,1.5529,9.2936,2.7167,1.4767000000000001,6.3918,2.5837,,3.4172000000000002,1.6766,8.1342,1.1381999999999999,2.6031,2.2098,2015-03-31 00:00:00
1.7708,2.7922000000000002,0.9254,1.4784,2.0692,3.1389,3.7086,0.8271,11.2218,14.6237,2.6162,,3.5989,1.7812999999999999,1.0001,0.5584,2.0357,4.6691,4.3982,,1.9013,2.6202,1.3016,1.5772,2.4916,2.1934,4.8419,1.6959,1.049,14.8844,2.0053,46.0833,1.2226,,3.6986,1.823,8.4436,3.283,1.5581,6.4279,2.5046,,6.9331,3.0413,7.649,1.2599,2.6092,1.9919,2015-06-30 00:00:00
2.7277,2.7258,0.9981,1.7422,2.8346,3.3493,3.965,0.8822,5.3618,12.9176,4.0388,,4.0193,1.7801,1.3245,0.5667,2.0203,4.7174,4.067,,2.0031,2.2102,1.3620999999999999,1.7359,2.4916,2.2915,4.9904,1.5171000000000001,0.9293,14.1918,1.9066999999999998,46.0833,1.6571,,3.6334999999999997,2.1636,8.1637,5.1036,1.6352,6.0559,2.5453,,6.2097,3.0413,7.4754,1.2696,2.5522,2.0916,2015-09-30 00:00:00
58.3363,3.0584,1.1234,1.5749,3.2842000000000002,3.1355,3.2959,0.9106,5.3866,8.8883,10.7986,,4.4667,1.6482,1.2883,0.6375,1.8629,4.8286,3.5846999999999998,,1.9335,2.2634,2.6884,1.4699,2.4916,2.5597,5.1627,1.4963,1.3608,11.9865,2.0744,46.0833,2.2248,,4.554,1.8533,7.8133,14.2683,1.6934,6.7023,2.3148,,5.6559,3.0413,12.4679,1.4111,2.714,2.0651,2015-12-31 00:00:00
58.3363,3.5807,1.3803,2.1704,3.7066,4.6752,3.3025,1.0655000000000001,2.5704000000000002,9.1919,29.0483,,7.9939,1.799,1.3173,0.7341,1.689,5.0722,3.4611,,2.1214,2.4122,3.3705,1.5518999999999998,2.4916,2.3354,5.3622,1.4774,2.2092,13.5355,2.0312,46.0833,2.9274,,4.6104,2.0523,7.3364,19.2981,2.1108,6.4278,2.3835,,4.6537,3.0413,12.3014,1.5527,2.8407,2.0444,2016-03-31 00:00:00
58.3363,3.1852,1.3371,2.0983,4.5322,4.8004999999999995,2.0401,1.1569,2.4313000000000002,9.322,29.0483,,7.6555,1.6202999999999999,1.3816,0.7575,1.7721,5.1347,3.4821,,2.3004,2.4448,8.4896,1.4264999999999999,2.3919,2.5041,5.2446,1.4453,2.1085,13.9636,2.0673,46.0833,3.4782,,4.4974,1.9737,7.7708,18.9365,2.1968,6.1663,2.114,,4.1316,3.0413,21.9706,1.5979999999999999,2.719,1.9955,2016-06-30 00:00:00
58.3363,2.694,1.2235,2.0126,4.198,4.4126,2.0037,1.1527,2.0505,10.3714,83.3983,,6.5934,1.5957,1.4466,0.8474,1.7627000000000002,4.6507,3.513,,2.3059,2.632,13.8612,1.5102,2.3264,2.5174,4.8822,1.5492,2.9024,14.394,1.9115,46.0833,3.8697,,4.3877,1.9584000000000001,7.5536,13.8135,2.1136,6.3365,2.0667,,4.0275,3.0413,21.551,1.686,2.6689,1.9792,2016-09-30 00:00:00
58.3363,3.3466,1.1889,1.9787,3.6552,4.1341,1.8523,1.0898,1.8255,9.858,6.1278,,5.1348,1.7544,1.3704,0.7313,1.663,4.5434,3.3216,,2.3255,2.4178,7.6655,2.0901,2.4607,2.4883,4.7481,1.5482,3.1892,12.8264,4.6791,46.0833,3.4836,,4.7527,1.9767000000000001,6.7645,4.4652,2.1649,5.7497,2.0815,,4.142,3.7635,9.542,1.617,2.5883000000000003,1.9348999999999998,2016-12-31 00:00:00
32.7778,3.1076,1.2208,2.4634,4.6213999999999995,3.8443,1.8736000000000002,1.2957,1.654,10.721,4.4828,,4.6456,1.7698,1.3718,0.7426,1.8136,4.6465,3.4693,,2.2116,2.737,8.2624,2.3027,2.7203,2.4413,5.0015,1.5041,2.9993,12.699300000000001,5.4936,46.0833,2.7413,,4.4076,2.0714,6.8372,3.848,2.1554,5.4104,2.0952,,4.0132,3.0409,8.3048,1.5993,2.4685,1.9868999999999999,2017-03-31 00:00:00
