HES US Equity,NEM US Equity,INTC US Equity,IFF US Equity,MOS US Equity,EXC US Equity,KMB US Equity,JNJ US Equity,BAX US Equity,F US Equity,CC US Equity,COP US Equity,WFC US Equity,WY US Equity,TGT US Equity,MMM US Equity,GM US Equity,CMI US Equity,HAS US Equity,DUK US Equity,EMN US Equity,BK US Equity,UFS US Equity,ECL US Equity,SLB US Equity,UPS US Equity,T US Equity,NSC US Equity,PPL US Equity,MO US Equity,JLL US Equity,C US Equity,ABT US Equity,AMD US Equity,CVX US Equity,CMA US Equity,DTE US Equity,HSY US Equity,KIM US Equity,NBL US Equity,IBM US Equity,WELL US Equity,IR US Equity,BKR US Equity,WEC US Equity,OXY US Equity,WMB US Equity,UNP US Equity,WM US Equity,CCL US Equity,Date
45.2835,14.9176,6.07,19.3724,12.1392,7.4241,12.8938,15.1453,16.7578,2.485,16.5353,25.7784,14.915347826086956,21.7771,5.4323,15.0353,2.2165,11.057,14.8793,9.7304,9.3461,14.915347826086956,5.9902999999999995,16.5772,22.3002,14.6091,7.12,10.4602,11.7275,16.6297,12.6505,8.1508,19.5241,67.3541,12.4296,14.915347826086956,11.4704,18.3207,18.2717,11.1863,10.6101,19.4741,13.1961,14.915347826086956,11.7717,13.2427,15.2981,10.4849,11.0832,11.8963,2017-06-30 00:00:00
47.1929,15.4014,6.9249,19.4038,10.1296,7.6314,11.7689,14.6566,16.7803,2.8166,16.2147,19.0936,15.28505744680851,23.2585,6.0226,14.9197,3.0405,10.7622,13.3397,13.4833,9.1901,15.28505744680851,6.5855,16.0822,21.3966,16.2537,7.3981,10.9006,11.6482,13.9161,10.159,8.1421,19.7132,47.7971,12.8122,15.28505744680851,11.901,17.8432,18.6485,11.1863,10.0323,19.9439,12.8686,57.3425,12.0413,12.5551,15.105,10.8937,11.2355,11.9649,2017-09-30 00:00:00
47.1929,8.5943,7.8315,19.8761,10.6999,7.6003,12.1426,14.0355,17.2922,2.9386,9.434,16.514499999999998,16.762827659574466,19.0498,6.8823,16.2481,2.5517,10.511,11.7983,13.083,9.3234,16.762827659574466,7.2949,16.1595,35.6629,12.5293,7.8327,11.0091,10.5062,15.1955,10.6597,8.4542,21.2688,37.3732,12.4252,16.762827659574466,12.1416,16.8052,19.3772,99.6196,10.6599,21.05,12.3183,46.0267,12.3996,12.3633,19.4377,11.8635,11.7061,12.113,2017-12-31 00:00:00
47.1929,8.8448,8.4224,16.9223,11.3413,7.6401,13.0637,12.477,16.7116,2.4737,8.0209,13.1401,16.37513829787234,18.3402,7.007,16.8357,2.5457,9.7705,12.8997,12.7895,10.2376,16.37513829787234,116.7464,16.4003,32.5512,11.1815,7.4505,10.1733,9.919599999999999,13.1763,12.187,7.6573,18.9649,25.8533,10.3838,16.37513829787234,11.9176,13.3428,16.6445,27.6525,10.5717,19.0844,11.9794,35.0846,12.0998,9.6997,17.5398,11.6236,11.3447,11.7243,2018-03-31 00:00:00
47.1929,9.2406,8.2658,15.3872,10.7766,7.3608,12.9015,11.4576,18.5304,2.8186,6.8209,6.7952,15.75435106382979,15.8153,7.7553,14.746,2.4215999999999998,7.7404,15.4111,13.2188,9.457,15.75435106382979,123.889,16.3303,29.5939,11.5437,9.3362,10.6893,9.9928,12.118,11.4816,7.0706,19.5402,27.1152,10.3529,15.75435106382979,11.9348,12.6139,17.9207,7.274,9.5009,21.1259,11.969,29.6939,12.5002,11.3154,18.0555,12.3963,10.8216,10.1651,2018-06-30 00:00:00
2711.2667,9.4025,7.204,15.8427,10.08,7.5745000000000005,14.3963,12.9652,18.2922,1.9355,6.1853,6.5315,71.82861702127663,12.6175,8.4868,15.5538,2.0826000000000002,7.9402,18.6671,11.9222,8.8373,71.82861702127663,75.0765,18.0012,26.7031,12.7351,8.7764,12.227,10.0927,12.6728,9.4999,6.8756,21.8285,51.722,8.589,71.82861702127663,12.4476,13.7956,17.9428,5.872,9.8145,22.4382,12.6916,23.0472,13.3647,8.023,19.0621,13.1433,11.6584,10.0603,2018-09-30 00:00:00
7.3596,10.0078,6.878,24.1873,8.3591,8.1881,15.0043,13.2294,15.3903,1.5367,5.1841,4.8826,11.243051063829787,10.5651,6.9591,14.0759,2.0994,6.8647,21.6452,12.6901,7.5169,11.243051063829787,4.2547,17.172,9.6351,10.9974,7.1307,10.1746,10.387,12.4811,7.1279,4.7854,20.4989,29.86,6.9105,11.243051063829787,12.5633,13.7405,16.9433,7.5334,7.8575,21.4939,11.2516,11.8268,14.5284,5.6408000000000005,20.1807,11.4778,11.2299,8.1165,2018-12-31 00:00:00
8.0902,10.4411,7.7411,21.522,7.1635,8.675,13.1963,14.891,18.9581,1.72,7.4352,5.0219,12.425642553191492,13.5829,7.8048,14.6505,2.38,6.9837,17.294,12.7935,7.8363,12.425642553191492,5.2748,18.7569,11.5074,12.0324,6.9418,11.5653,11.1499,14.3291,8.9137,6.0134,21.5732,46.8002,7.3688,12.425642553191492,13.2273,14.6693,19.454,13.2282,8.2045,22.7329,11.9293,10.9293,15.8132,6.1371,23.0701,13.2393,12.394,8.5687,2019-03-31 00:00:00
7.8839,18.6404,6.99,21.4298,8.7108,8.5615,14.0114,14.9037,19.286,2.3044000000000002,7.0287,5.1061,13.110248936170212,15.8978,8.3833,13.5053,2.5620000000000003,7.1973,19.8266,12.346,8.4222,13.110248936170212,5.0373,20.5296,10.5238,10.8634,6.857,12.0768,11.0832,12.2374,8.2199,5.6925,22.0515,64.8334,7.1819,13.110248936170212,13.5145,15.9433,19.5947,14.317,8.0107,24.393,14.0528,8.9973,16.3885,4.9308,22.1088,12.3673,13.5401,7.838,2019-06-30 00:00:00
7.8176,12.9765,7.5283,17.2918,8.969,8.3912,13.9967,13.0108,20.1557,2.2412,6.5405,4.4145,13.158923404255319,21.5115,9.4732,12.6969,2.2818,7.0874,22.88,12.4088,8.6736,13.158923404255319,5.0086,20.3935,9.3894,11.8033,7.4091000000000005,11.0693,11.02,10.4242,10.0599,5.0664,21.4279,55.6241,7.1079,13.158923404255319,13.7495,17.9207,21.3617,19.0656,10.4237,24.3437,13.3856,9.0382,17.8938,13.4714,19.4996,11.951,13.0247,7.1896,2019-09-30 00:00:00
