date;jour;mois
07/08/2017;-0,353;
04/08/2017;-0,356;
03/08/2017;-0,35;
02/08/2017;-0,354;
01/08/2017;-0,356;
31/07/2017;-0,348;-0,359
28/07/2017;-0,359;
27/07/2017;-0,361;
26/07/2017;-0,361;
25/07/2017;-0,362;
24/07/2017;-0,361;
21/07/2017;-0,361;
20/07/2017;-0,362;
19/07/2017;-0,362;
18/07/2017;-0,362;
17/07/2017;-0,362;
14/07/2017;-0,361;
13/07/2017;-0,36;
12/07/2017;-0,359;
11/07/2017;-0,36;
10/07/2017;-0,36;
07/07/2017;-0,359;
06/07/2017;-0,359;
05/07/2017;-0,357;
04/07/2017;-0,357;
03/07/2017;-0,356;
30/06/2017;-0,35;-0,359
29/06/2017;-0,36;
28/06/2017;-0,362;
27/06/2017;-0,362;
26/06/2017;-0,362;
23/06/2017;-0,362;
22/06/2017;-0,362;
21/06/2017;-0,362;
20/06/2017;-0,362;
19/06/2017;-0,36;
16/06/2017;-0,355;
15/06/2017;-0,361;
14/06/2017;-0,358;
13/06/2017;-0,358;
12/06/2017;-0,358;
09/06/2017;-0,36;
08/06/2017;-0,358;
07/06/2017;-0,362;
06/06/2017;-0,358;
05/06/2017;-0,373;
02/06/2017;-0,331;
01/06/2017;-0,355;
31/05/2017;-0,348;-0,359
30/05/2017;-0,361;
29/05/2017;-0,361;
26/05/2017;-0,359;
25/05/2017;-0,365;
24/05/2017;-0,359;
23/05/2017;-0,36;
22/05/2017;-0,359;
19/05/2017;-0,36;
18/05/2017;-0,362;
17/05/2017;-0,359;
16/05/2017;-0,367;
15/05/2017;-0,358;
12/05/2017;-0,358;
11/05/2017;-0,361;
10/05/2017;-0,358;
09/05/2017;-0,357;
08/05/2017;-0,356;
05/05/2017;-0,357;
04/05/2017;-0,357;
03/05/2017;-0,357;
02/05/2017;-0,356;
28/04/2017;-0,351;-0,357
27/04/2017;-0,362;
26/04/2017;-0,363;
25/04/2017;-0,362;
24/04/2017;-0,358;
21/04/2017;-0,358;
20/04/2017;-0,358;
19/04/2017;-0,359;
18/04/2017;-0,359;
13/04/2017;-0,358;
12/04/2017;-0,359;
11/04/2017;-0,358;
10/04/2017;-0,357;
07/04/2017;-0,353;
06/04/2017;-0,353;
